All,Semua
None,Kosong
"Allowed Scopes",Diizinkan
"You need more permissions to apply some of the rule updates.","Anda membutuhkan lebih banyak izin untuk menerapkan beberapa aturan pembaruan."
"You need more permissions to access website ""%1"".","Anda membutuhkan lebih banyak izin untuk mengakses situs ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again."
"Role Scopes","Lingkup peran"
Custom,Khusus
"Read Details","Baca Detail"
"Mark as Read","Tandai telah dibaca"
"Are you sure?","Apakah Anda Yakin?"
Remove,Menghapus
"Messages Inbox","Kotak Masuk Pesan"
"You have %1 new system messages","Anda memiliki %1 pesan sistem baru"
"You have %1 new system message","Anda memiliki %1 pesan sistem baru"
"Incoming Message","Pesan Masuk"
close,keluar
Notifications,Pemberitahuan
"The message has been marked as Read.","Tandai pesan telah dibaca."
"We couldn't mark the notification as Read because of an error.","Kami tidak bisa menandai pemberitahuan telah dibaca karena ada kesalahan."
"Please select messages.","Silahkan pilih pesan."
"A total of %1 record(s) have been marked as Read.","Sebanyak% 1 record telah ditandai sudah dibaca."
"Total of %1 record(s) have been removed.","Sebanyak% 1 record telah dihapus."
"We couldn't remove the messages because of an error.","Kami tidak bisa menghapus pesan karena ada kesalahan."
"The message has been removed.","Pesan telah dihapus."
"1 Hour","1 jam"
"2 Hours","2 jam"
"6 Hours","6 jam"
"12 Hours","12 jam"
"24 Hours","24 jam"
critical,kritis
major,besar
minor,kecil
notice,perhatian
"Wrong message type","Type pesan salah"
"Wrong notification ID specified.","Notifikasi ID yang ditentukan salah."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{Base_url}} tidak dianjurkan untuk digunakan dalam lingkungan produksi untuk menyatakan basis URL tidak aman/ basis URL aman. Kami sangat menyarankan mengubah nilai ini dalam Magento Anda <a href=""%1""> konfigurasi </a>."
"One or more of the Cache Types are invalidated: %1. ","Satu atau lebih dari Jenis cache yang valid:% 1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Silakan buka <a href=""%1""> Manajemen Cache </a> dan me-refresh type cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Kami tidak dapat menyinkronkan satu atau lebih file media. Silakan merujuk ke file log untuk rincian."
"Synchronization of media storages has been completed.","Sinkronisasi media penyimpanan telah selesai."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Setup server web anda tidak benar dan memungkinkan akses tidak sah ke file sensitif. Silakan hubungi penyedia hosting anda."
"System Messages:","Pesan Sistem:"
"Critical System Messages","Pesan Sistem Kritis"
"Major System Messages","Pesan Sistem Besar"
"System messages","Pesan Sistem"
Close,Tutup
"See All (","Lihat semua ("
" unread)"," belum dibaca)"
"Show Toolbar","Tampilkan Toolbar"
"Show List","Tampilkan List"
"Use HTTPS to Get Feed","Gunakan HTTPS untuk ke Get Feed"
"Update Frequency","Pembaruan Frekuensi"
"Last Update","Pembaruan Terakhir"
Severity,Kekerasan
"Date Added","Tanggal Ditambahkan"
Message,Pesan
Actions,Tindakan
"Manage Shopping Cart","Mengelola Daftar Belanja"
"Create Order","Buat Pesanan"
Back,Kembali
"Add Products","Tambahkan Produk"
"Update Items and Quantities","Perbarui Produk dan Kuantitas"
"Are you sure you want to clear your cart?","Apakah anda yakin ingin menghapus trolimu?"
"Clear my shopping cart","Hapus daftar belanjaku"
"Add selections to my cart","Tambahkan pilihan ke troli saya"
Cancel,Batal
"Shopping Cart for %1 in %2","Daftar Belanja untuk% 1 di% 2"
"Select products you want to buy","Pilih produk yang ingin kamu beli"
Product,Produk
Price,Harga
Quantity,Kuantitas
"Products in the Comparison List (%1)","Produk di Daftar Perbandingan (%1)"
"Last ordered items (%1)","Item pesanan terakhir (%1)"
Products,Produk
ID,Nomor
"Recently Compared Products (%1)","Produk yang baru di bandingkan (%1)"
"Recently Viewed Products (%1)","Produk yang baru dilihat (%1)"
"Add to Shopping Cart by SKU","Tambahkan ke daftar belanja dengan SKU"
"Add to Shopping Cart","Tambahkan ke daftar belanja"
"Wish List (%1)","Daftar Keinginan (%1)"
Apply,Terapkan
Configure,Konfigurasi
"Add to Order by SKU","Tambahkan ke Pesanan dengan SKU"
"Add to Order","Tambahkan ke Pesanan"
"Add Products to Order","Tambahkan Produk ke Pesanan"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produk perlu perhatian.</span>"
"Remove All","Hapus Semua"
"Only %1%2%3 left in stock","Hanya %1%2%3 stok yang tersisa"
"You can buy up to %1 of these per purchase.","Anda dapat membeli hingga% 1 ini per pembelian."
"You must buy at least %1 of these per purchase.","Anda harus membeli setidaknya% 1 ini per pembelian."
"Specify the product's options.","Tentukan pilihan produk."
"Alert me when this item is available.","Peringatkan saya jika item ini tersedia."
"Shopping cart management is disabled for this customer.","Pengelolaan daftar belanja dinonaktifkan untuk pelanggan ini."
Customers,Pelanggan
"Shopping Cart","Keranjang Belanja"
"You do not have access to this.","Anda tidak memiliki akses ke ini."
"An error has occurred. See error log for details.","Sebuah kesalahan telah terjadi. Lihat log kesalahan untuk rincian."
"You cannot configure a product.","Anda tidak dapat mengkonfigurasi produk."
"You removed the items.","Anda telah menghapus item."
"You removed the item.","Anda telah menghapus item."
"You added %1 to your shopping cart.","Anda menambahkan %1 ke keranjang belanja anda."
"You cannot add a product.","Anda tidak dapat menambahkan produk."
"Order by SKU","Pesan dengan SKU"
"The SKU was not found in the catalog.","SKU tidak ditemukan di katalog."
"Availability: Out of stock.","Ketersediaan: Habis."
"You need to choose options for your item.","Anda harus memilih opsi untuk barang Anda."
"Please enter an actual number in the ""Qty"" field.","Silakan masukkan jumlah aktual dalam field ""Qty""."
"This product is assigned to another website.","Produk ini ditugaskan ke website lain."
"You can add only enabled products.","Anda hanya dapat menambahkan produk saat diaktifkan."
"You cannot upload this file.","Anda tidak dapat mengunggah berkas ini."
"The file is empty.","Berkas kosong."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Anda belum memasukkan produk SKU. <a Href=""%1""> klik di sini </a> untuk menambahkan produk dengan SKU."
"You have not entered a product SKU.","Anda belum memasukkan produk SKU."
"We can't add a product to cart by id ""%1"".","Kami tidak dapat menambahkan produk ke troli dengan id ""% 1""."
"Something went wrong while reordering this product.","Terjadi kesalahan saat pemesanan ulang produk ini."
"We can't find this wish list.","Kami tidak bisa menemukan daftar keinginan ini."
"You added %1 product to your shopping cart.","Anda menambahkan produk% 1 ke keranjang belanja Anda."
"You added %1 products to your shopping cart.","Anda menambahkan produk% 1 ke keranjang belanja Anda."
"%1 product requires your attention.","produk% 1 membutuhkan perhatian Anda."
"%1 products require your attention.","produk% 1 membutuhkan perhatian Anda."
"Yes, for Specified Customer Groups","Ya, untuk Grup Pelanggan Tertentu"
"Yes, for Everyone","Ya, untuk Semua orang"
No,Tidak
"Please upload the file in .csv format.","Silakan upload file dalam format .csv."
"%1 item(s) need your attention.","% 1 item membutuhkan perhatian Anda."
"Apply Coupon Code","Terapkan Kode Kupon"
"Remove Coupon Code","Hapus Kode Kupon"
"The coupon code ""%1"" is not valid.","Kode Kupon ""% 1"" tidak valid."
"Shopping Cart Items","Produk Daftar Belanja"
Qty,Jumlah
Subtotal,"Total bagian"
Discount,Diskon
"Row Subtotal","Baris Subtotal"
Action,Tindakan
"No ordered items","Tidak ada item pesanan"
"Total %1 product(s)","Total %1 produk"
"Please select","Silahkan pilih"
"Move to Wish List","Pindah ke Daftar Keinginan"
"No item specified.","Tidak ada item yang ditentukan."
"Are you sure you want to remove this item?","Apakah anda yakin ingin menghapus barang ini?"
"SKU number","Nomor SKU"
"Upload File","Unggah berkas"
"Your csv file must include ""sku"" and ""qty"" columns.","File csv Anda harus menyertakan kolom ""sku"" dan ""qty""."
Reset,"Atur ulang"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Hanya <span id=""%1_max_allowed"">%2</span> persediaan"
Item,Barang
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"What's this?","Apakah ini?"
"Incl. Tax","Termasuk Pajak"
"Excl. Tax","Tidak Termasuk Pajak"
"Edit item parameters","Edit parameter item"
Edit,Ubah
"Remove item","Hapus barang"
"Products Requiring Attention","Produk Membutuhkan Perhatian"
"Add to Cart","Tambahkan ke Keranjang"
File,Berkas
"File extensions allowed: .csv","Ekstensi file yang diizinkan: .csv"
"Add Row","Tambahkan Baris"
"Remove Row","Hapus Baris"
"Add Products By SKU","Tambahkan Produk dengan SKU"
"Shopping Cart Management","Pengelolaan Daftar Belanja"
"View Shopping Cart","Lihat Daftar Belanja"
"View and modify Shopping Cart","Lihat danubah Daftar Belanja"
"Order by SKU Settings","Pesan dengan Pengaturan SKU"
"Enable Order by SKU on My Account in Storefront","Aktifkan Pesanan dengan SKU di etalase Akun saya"
"Customer Groups","Grup pelanggan"
"Apply Coupon","Terapkan Kupon"
"Order by SKU Description","Pesan dengan Deskripsi SKU"
"Display a Link to Loading a Spreadsheet","Tampilkan Link untuk memuat Lembar Kerja"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Mendefinisikan apakah link ke Akun Saya & gt; Halaman pesanan dengan SKU akan ditampilkan pada widget"
"Link Text","Teks Link"
"The text of the link to the My Account &gt; Order by SKU page","Teks link ke Akun Saya & gt; Pesanan dengan halaman SKU"
"Load a list of SKUs","Memuat daftar SKU"
"Order by SKU Template","Pesan dengan SKU Template"
"Please correct the data sent.","Silahkan perbaiki data yang dikirim."
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Model jenis entitas harus berupa instance dari \ Magento \ katalog imporEkspor\ Model \ Ekspor \ Produk \ Type \Tipe Abstrak"
"There are no product types available for export","Tidak ada jenis produk yang tersedia untuk diekspor"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","% 1 kelas tidak mengimplementasikan
\Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Aturan penjualan"
"Index sales rule","Indeks aturan penjualan"
"Related Search Terms","Istilah Pencarian yang Terkait"
"Add New Search Term","Tambhakan Istilah Pencarian Baru"
button_label,tombol_lebel
